"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"13.05.2022","64,5450","63,3000","65,4048","62,7525","1,97%"
"12.05.2022","63,3000","67,2000","67,3975","63,2048","-5,80%"
"11.05.2022","67,2000","69,4025","70,2000","66,5280","-3,17%"
"09.05.2022","69,4025","69,4025","69,4025","69,4025","0,00%"
"06.05.2022","69,4025","67,0000","70,1875","66,0889","3,59%"
"05.05.2022","67,0000","66,3000","67,6598","66,0101","1,06%"
"04.05.2022","66,3000","70,9600","70,9600","66,3000","-6,57%"
"03.05.2022","70,9600","70,9600","70,9600","70,9600","0,00%"
"29.04.2022","70,9600","72,0800","72,3403","70,3221","-1,55%"
"28.04.2022","72,0800","72,7800","72,7800","71,7339","-0,96%"
"27.04.2022","72,7800","73,5250","73,5250","72,5362","-1,01%"
"26.04.2022","73,5250","73,1250","73,5250","72,2853","0,55%"
"25.04.2022","73,1250","75,4500","75,4508","72,9369","-3,08%"
"22.04.2022","75,4500","74,7850","75,8633","72,7221","0,89%"
"21.04.2022","74,7850","76,4125","76,6139","73,3933","-2,13%"
"20.04.2022","76,4125","78,5150","78,5347","74,7780","-2,68%"
"19.04.2022","78,5150","79,7500","79,7500","78,0211","-1,55%"
"18.04.2022","79,7500","79,9950","80,3522","78,7800","-0,31%"
"15.04.2022","79,9950","80,8975","80,8991","79,2471","-1,12%"
"14.04.2022","80,8975","79,8675","82,3836","79,5570","1,29%"
"13.04.2022","79,8675","79,6800","80,2965","79,4078","0,24%"
"12.04.2022","79,6800","79,0650","80,2549","78,6952","0,78%"
"11.04.2022","79,0650","76,0800","81,2950","76,0800","3,92%"
"08.04.2022","76,0800","75,7500","76,2590","71,3993","0,44%"
"07.04.2022","75,7500","79,7000","79,7134","74,7532","-4,96%"
"06.04.2022","79,7000","83,3125","83,6375","79,1975","-4,34%"
"05.04.2022","83,3125","84,0000","84,0000","82,7885","-0,82%"
"04.04.2022","84,0000","83,9500","84,9917","83,0201","0,06%"
"01.04.2022","83,9500","83,2000","84,2991","83,1494","0,90%"
"31.03.2022","83,2000","84,5500","84,5500","83,1100","-1,60%"
"30.03.2022","84,5500","85,2500","85,2500","83,0119","-0,82%"
"29.03.2022","85,2500","89,7500","89,7500","82,9525","-5,01%"
"28.03.2022","89,7500","96,0000","96,0000","89,1301","-6,51%"
"25.03.2022","96,0000","97,0000","97,4680","93,0750","-1,03%"
"24.03.2022","97,0000","97,7375","97,7400","95,5604","-0,75%"
"23.03.2022","97,7375","103,5500","104,4980","97,6000","-5,61%"
"22.03.2022","103,5500","104,0000","104,3450","103,4399","-0,43%"
"21.03.2022","104,0000","104,8200","105,6525","103,9968","-0,78%"
"18.03.2022","104,8200","103,1500","105,5971","101,9980","1,62%"
"17.03.2022","103,1500","108,0000","108,0000","103,0114","-4,49%"
"16.03.2022","108,0000","110,1000","110,1000","107,3175","-1,91%"
"15.03.2022","110,1000","114,1025","114,1025","109,2500","-3,51%"
"14.03.2022","114,1025","114,2525","115,5952","110,1071","-0,13%"
"11.03.2022","114,2525","118,5000","118,5075","113,3485","-3,58%"
"10.03.2022","118,5000","120,0000","121,2100","116,0000","-1,25%"
"09.03.2022","120,0000","113,8825","120,8300","113,8825","-5,88%"
"08.03.2022","127,5000","129,0000","141,5000","121,0000","-10,84%"
"07.03.2022","143,0000","120,0000","158,3000","125,5000","16,70%"
"04.03.2022","122,5375","109,7500","128,0165","99,9200","11,50%"
"03.03.2022","109,8960","102,7500","118,6885","96,5175","6,85%"
"02.03.2022","102,8505","108,5000","115,5500","95,4750","-5,24%"
"01.03.2022","108,5435","102,2500","118,5235","89,3985","2,36%"
"28.02.2022","106,0405","107,6462","115,4163","92,9310","0,73%"
"25.02.2022","105,2710","84,4255","105,2710","81,2302","25,25%"
"24.02.2022","84,0475","81,1600","90,1896","80,5225","3,57%"
"23.02.2022","81,1480","78,8300","81,8605","78,5456","3,24%"
"22.02.2022","78,5987","80,1485","80,9408","78,4972","-1,77%"
"21.02.2022","80,0170","77,9465","80,3438","76,1358","3,47%"
"18.02.2022","77,3320","76,3088","77,4832","75,6440","1,34%"
"17.02.2022","76,3088","75,2537","76,6241","75,2525","1,40%"
"16.02.2022","75,2537","75,3519","75,3665","74,8532","-0,13%"
"15.02.2022","75,3519","76,7799","76,7870","75,1262","-1,86%"
"14.02.2022","76,7799","77,1905","78,0675","75,9325","-0,53%"
"11.02.2022","77,1905","75,0216","77,5925","74,8215","2,89%"
"10.02.2022","75,0216","74,7189","75,0417","74,2873","0,41%"
"09.02.2022","74,7189","75,0091","75,0706","74,5020","-0,39%"
"08.02.2022","75,0091","75,4971","75,5533","74,9978","-0,65%"
"07.02.2022","75,4971","75,8385","76,0590","75,3971","-0,45%"
"04.02.2022","75,8385","76,5108","76,5108","75,6604","-0,88%"
"03.02.2022","76,5108","76,2911","76,8093","76,1473","0,61%"
"02.02.2022","76,0472","76,8603","76,8800","75,6935","-1,06%"
"01.02.2022","76,8603","77,3792","77,3792","76,4645","-0,67%"
"31.01.2022","77,3792","77,8279","77,8314","77,2718","-0,58%"
"28.01.2022","77,8279","78,0065","78,2870","77,4150","-0,23%"
"27.01.2022","78,0065","79,4960","79,7310","77,4233","-1,87%"
"26.01.2022","79,4960","78,6456","80,3251","78,5324","1,08%"
"25.01.2022","78,6456","78,7860","79,3147","78,3099","-0,18%"
"24.01.2022","78,7860","77,4485","79,4754","76,9856","1,73%"
"21.01.2022","77,4485","76,6814","77,5318","76,2921","1,00%"
"20.01.2022","76,6814","76,2065","76,7738","76,0106","0,62%"
"19.01.2022","76,2065","76,9350","77,1589","75,8714","-0,95%"
"18.01.2022","76,9350","76,1055","76,9965","76,0180","1,09%"
"17.01.2022","76,1055","76,2202","76,7754","75,6964","-0,15%"
"14.01.2022","76,2202","76,2755","76,9626","75,6077","-0,07%"
"13.01.2022","76,2755","74,7154","76,5596","74,4713","2,09%"
"12.01.2022","74,7154","74,4665","74,8940","74,3172","0,33%"
"11.01.2022","74,4665","75,0159","75,0159","74,4198","-0,73%"
"10.01.2022","75,0159","75,7408","75,7742","74,8564","-0,96%"
"07.01.2022","75,7408","76,3130","76,5050","75,1076","-0,75%"
"06.01.2022","76,3130","76,7857","77,3182","76,0446","-0,62%"
"05.01.2022","76,7857","75,3700","76,8755","75,3700","1,88%"
"04.01.2022","75,3700","74,5508","75,5754","74,4400","1,10%"
"03.01.2022","74,5508","74,6539","75,1858","74,1898","-0,14%"
"30.12.2021","74,6539","74,0000","75,1295","74,0000","0,88%"
"29.12.2021","74,0000","73,7359","74,1919","73,5559","0,36%"
"28.12.2021","73,7359","73,4634","73,8769","73,3407","0,37%"
"27.12.2021","73,4634","73,6673","73,6684","73,1070","-0,28%"
"24.12.2021","73,6673","73,3072","73,7286","73,1447","0,49%"
"23.12.2021","73,3072","73,7710","73,7710","73,1948","-0,63%"
"22.12.2021","73,7710","74,0007","74,1661","73,6078","-0,31%"
"21.12.2021","74,0007","74,1728","74,1822","73,7283","-0,23%"
"20.12.2021","74,1728","74,1326","74,4998","74,0745","0,05%"
"17.12.2021","74,1326","73,7575","74,2561","73,5785","0,51%"
"16.12.2021","73,7575","73,6998","73,8587","73,3666","0,08%"
"15.12.2021","73,6998","73,7913","74,3578","73,6753","-0,12%"
"14.12.2021","73,7913","73,5138","73,9087","73,4085","0,38%"
"13.12.2021","73,5138","73,3758","73,7009","73,2548","0,19%"
"10.12.2021","73,3758","73,7411","73,7875","73,2846","-0,50%"
"09.12.2021","73,7411","73,5993","73,7587","73,4878","0,19%"
"08.12.2021","73,5993","74,0426","74,0600","73,5199","-0,60%"
"07.12.2021","74,0426","74,3613","74,5261","73,8650","-0,43%"
"06.12.2021","74,3613","73,9072","74,4477","73,5220","0,61%"
"03.12.2021","73,9072","73,6581","73,9792","73,3438","0,34%"
"02.12.2021","73,6581","74,2515","74,2515","73,5377","-0,80%"
"01.12.2021","74,2515","74,0838","74,3784","73,7206","0,23%"